interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"unknownClick",5519,"unknown",false,0,4,5519,93351,true,2,"sbs","eggs","2014-12-07T18:10:16.915Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498097f671a49094b48af)
"unknownClick",183,"unknown",false,0,4,5702,93534,true,2,"sbs","eggs","2014-12-07T18:10:17.098Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498097f671a49094b48b0)
"unknownClick",2139,"unknown",false,0,4,7841,95673,true,2,"sbs","eggs","2014-12-07T18:10:19.237Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484980b7f671a49094b48b1)
"unknownClick",175,"unknown",false,0,4,8016,95848,true,2,"sbs","eggs","2014-12-07T18:10:19.412Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484980b7f671a49094b48b2)
"unknownClick",16331,"unknown",false,0,4,24347,112179,true,2,"sbs","eggs","2014-12-07T18:10:35.743Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484981c7f671a49094b48b3)
"unknownClick",200,"unknown",false,0,4,24547,112379,true,2,"sbs","eggs","2014-12-07T18:10:35.943Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484981c7f671a49094b48b4)
"unknownClick",1164,"unknown",false,0,4,25711,113543,true,2,"sbs","eggs","2014-12-07T18:10:37.107Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484981d7f671a49094b48b5)
"unknownClick",166,"unknown",false,0,4,25877,113709,true,2,"sbs","eggs","2014-12-07T18:10:37.274Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484981d7f671a49094b48b6)
"nextClick",1806,"nextStep",true,1,4,27683,115515,true,2,"sbs","eggs","2014-12-07T18:10:39.079Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484981f7f671a49094b48b7)
"prevClick",2122,"prevStep",true,-1,5,2122,117637,true,2,"sbs","eggs","2014-12-07T18:10:41.202Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498217f671a49094b48b8)
"prevClick",1242,"prevStep",true,-1,4,1242,118879,true,2,"sbs","eggs","2014-12-07T18:10:42.443Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498227f671a49094b48b9)
"prevClick",2318,"prevStep",true,-1,3,2318,121197,true,2,"sbs","eggs","2014-12-07T18:10:44.762Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498247f671a49094b48ba)
"nextClick",7460,"nextStep",true,1,2,7460,128657,true,2,"sbs","eggs","2014-12-07T18:10:52.221Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484982c7f671a49094b48bb)
"nextClick",4130,"nextStep",true,1,3,4130,132787,true,2,"sbs","eggs","2014-12-07T18:10:56.351Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498307f671a49094b48bc)
"unknownClick",2211,"unknown",false,0,4,2211,134998,true,2,"sbs","eggs","2014-12-07T18:10:58.562Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498327f671a49094b48bd)
"unknownClick",178,"unknown",false,0,4,2389,135176,true,2,"sbs","eggs","2014-12-07T18:10:58.740Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498337f671a49094b48be)
"unknownClick",5332,"unknown",false,0,4,7721,140508,true,2,"sbs","eggs","2014-12-07T18:11:04.072Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548498387f671a49094b48bf)
